Material_Number,Material_Description,Material_Group,Material_Group_Desc,Material_Type,Base_UoM,Created_Date,Created_By,Plant,Industry_Sector,Deletion_Flag,HSN_SAC_Code,Classification,Standard_Price
M2181199,HYDRAULIC OIL ISO 68 — Var 4,3030204,HYDRAULIC OIL ISO 68,HALB,KG,02-05-2021,USER010,,M,,85347403,A,241397.9
M3863555,PPE SAFETY BOOTS — Var 2,3030212,PPE SAFETY BOOTS,HALB,KG,20-02-2022,USER007,VSP,M,,83085016,C,269922.58
M6156842,HOUSEKEEPING SERVICES MONTHLY — Var 4,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,07-12-2023,USER006,,M,X,93692695,C,198977.41
M6695120,BEARING MECHANICAL SPARE SKF — Var 8,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,12-02-2020,USER006,KLN,M,,93882142,C,89157.39
M8447586,SECURITY CONTRACT PLANT — Var 5,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,02-04-2022,USER003,DOL,M,,91976869,C,58465.05
M6018975,COAL THERMAL GRADE A 5K — Var 12,1010001,COAL THERMAL GRADE A 5K,ROH,TON,03-12-2021,USER002,JSR,M,,87564172,A,159299.79
M9769750,PPE HELMET SAFETY — Var 4,3030211,PPE HELMET SAFETY,HALB,KG,29-07-2019,USER011,VSP,M,,88168639,B,9165.42
M8391997,COAL THERMAL GRADE A 5K — Var 7,1010001,COAL THERMAL GRADE A 5K,ROH,TON,18-06-2023,USER004,,M,,86840028,C,93451.02
M3648090,PPE SAFETY BOOTS — Var 5,3030212,PPE SAFETY BOOTS,HALB,KG,08-03-2021,USER006,,M,,91108347,B,19512.05
M5172792,PPE SAFETY BOOTS — Var 1,3030212,PPE SAFETY BOOTS,HALB,KG,21-05-2020,USER010,KLN,M,,97304484,C,93085.3
M3536078,BEARING MECHANICAL SPARE SKF — Var 8,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,26-08-2020,USER008,BPS,M,,82999078,A,331223.08
M6356904,GREASE INDUSTRIAL EP2 — Var 7,3030205,GREASE INDUSTRIAL EP2,HALB,KG,06-07-2022,USER004,,M,,81080017,A,351064.94
M4984495,PPE HELMET SAFETY — Var 6,3030211,PPE HELMET SAFETY,HALB,KG,14-10-2019,USER006,,M,,92999570,C,326276.89
M6348283,BEARING MECHANICAL SPARE TIMKEN — Var 3,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,20-06-2020,USER006,DOL,M,,89178074,A,152978.07
M9982389,PPE SAFETY BOOTS — Var 3,3030212,PPE SAFETY BOOTS,HALB,KG,11-03-2023,USER006,,M,,80878826,B,157083.1
M8388391,REFRACTORY CASTABLE HIGH ALUMINA — Var 1,2020102,REFRACTORY CASTABLE HIGH ALUMINA,HALB,KG,22-09-2023,USER012,JSR,M,,84317138,B,273790.78
M7937523,IRON ORE LUMPS MARKET — Var 5,1010003,IRON ORE LUMPS MARKET,ROH,TON,05-02-2021,USER008,BPS,M,,95495565,B,118209.98
M6600660,HYDRAULIC HOSE INDUSTRIAL — Var 6,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,18-05-2020,USER001,BPS,M,,84839238,C,300847.55
M5515003,VALVE PNEUMATIC ACTUATOR — Var 1,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,08-02-2020,USER010,BPS,M,,97536452,C,174401.87
M2524072,PPE HELMET SAFETY — Var 1,3030211,PPE HELMET SAFETY,HALB,KG,04-09-2022,USER002,,M,,92942599,B,236887.78
M4511404,INTERMEDIATE ROLL — Var 1,2020112,INTERMEDIATE ROLL,ROH,TON,01-05-2019,USER001,ANG,M,,89593199,B,330916.46
M9525521,BEARING MECHANICAL SPARE SKF — Var 6,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,27-03-2023,USER010,,M,,81067000,B,47372.91
M7616116,COAL THERMAL GRADE A 5K — Var 7,1010001,COAL THERMAL GRADE A 5K,ROH,TON,30-04-2021,USER012,,M,,93823566,C,263188.52
M5716327,LUBRICATION OIL TURBINE — Var 4,3030206,LUBRICATION OIL TURBINE,HALB,KG,10-09-2020,USER010,KLN,M,,89524802,B,458023.19
M2534834,TRANSPORT INPLANT — Var 9,4040304,TRANSPORT INPLANT,ANLZ,EA,29-10-2023,USER006,,M,,87225659,B,471771.84
M4926330,BEARING MECHANICAL SPARE SKF — Var 9,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,22-09-2019,USER005,VSP,M,,91438222,B,294939.5
M4724814,HYDRAULIC OIL ISO 68 — Var 6,3030204,HYDRAULIC OIL ISO 68,HALB,KG,12-10-2022,USER003,KLN,M,,98061539,B,387845.95
M4230781,INSTRUMENTATION SENSOR PRESSURE — Var 12,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,08-03-2024,USER005,,M,,75657353,B,363923.96
M4729813,PPE SAFETY BOOTS — Var 6,3030212,PPE SAFETY BOOTS,HALB,KG,25-04-2022,USER005,JSR,M,,86922667,C,163631.17
M8542928,PPE SAFETY BOOTS — Var 5,3030212,PPE SAFETY BOOTS,HALB,KG,04-10-2019,USER003,DOL,M,,89064656,A,329010.11
M4404381,HYDRAULIC HOSE INDUSTRIAL — Var 5,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,23-12-2020,USER003,VSP,M,,96690534,A,149359.63
M7621853,TONER CARTRIDGE LASER — Var 8,3030214,TONER CARTRIDGE LASER,HALB,KG,15-03-2022,USER010,ANG,M,,86303787,B,320868.18
M4856420,COKING COAL IMPORTED AUS PREMIUM — Var 3,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,28-04-2022,USER001,KLN,M,,96144992,C,172648.17
M9888846,COKING COAL IMPORTED AUS PREMIUM — Var 10,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,01-09-2019,USER011,,M,,95764045,C,119044.54
M7406537,NITROGEN GAS LIQUID — Var 9,1010015,NITROGEN GAS LIQUID,HALB,KG,22-05-2019,USER003,BPS,M,,80881158,A,356696.5
M5603979,COKING COAL IMPORTED AUS PREMIUM — Var 5,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,07-01-2021,USER012,,M,,75162207,C,335055.24
M8505394,REFRACTORY CASTABLE HIGH ALUMINA — Var 6,2020102,REFRACTORY CASTABLE HIGH ALUMINA,HALB,KG,29-06-2023,USER004,DOL,M,,87483522,C,82496.68
M5536369,FERRO SILICON FeSi75 — Var 7,1010012,FERRO SILICON FeSi75,HALB,KG,03-03-2021,USER005,KLN,M,,73242963,B,408782.92
M4933890,IRON ORE FINES OPEN MARKET — Var 6,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,21-10-2019,USER006,ANG,M,,97282873,C,236016.21
M4851580,PELLET FEED IRON ORE — Var 6,1010008,PELLET FEED IRON ORE,ROH,TON,20-04-2020,USER002,ANG,M,,97906575,B,366153.96
M9868639,HOUSEKEEPING SERVICES MONTHLY — Var 11,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,18-06-2019,USER012,ANG,M,,99360234,A,496326.56
M4393689,HYDRAULIC HOSE INDUSTRIAL — Var 10,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,31-03-2020,USER007,,M,,90855638,B,165085.83
M8421269,PPE SAFETY BOOTS — Var 5,3030212,PPE SAFETY BOOTS,HALB,KG,09-07-2023,USER011,,M,,72608844,B,91393.28
M8141425,LUBRICATION OIL TURBINE — Var 9,3030206,LUBRICATION OIL TURBINE,HALB,KG,01-03-2020,USER001,BPS,M,,99401218,A,183941.48
M1193445,SECURITY CONTRACT PLANT — Var 3,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,14-06-2022,USER007,DOL,M,,89492318,B,306028.33
M4816281,LUBRICATION OIL TURBINE — Var 4,3030206,LUBRICATION OIL TURBINE,HALB,KG,21-06-2022,USER001,VSP,M,,90674167,C,328744.03
M5475419,MILL ROLL CHOCK ASSEMBLY — Var 7,2020113,MILL ROLL CHOCK ASSEMBLY,ROH,TON,30-10-2020,USER005,VSP,M,,94391782,C,87143.74
M3374854,HYDRAULIC OIL ISO 68 — Var 5,3030204,HYDRAULIC OIL ISO 68,HALB,KG,03-04-2020,USER012,,M,,73117160,C,485064.92
M3612742,LUBRICATION OIL TURBINE — Var 1,3030206,LUBRICATION OIL TURBINE,HALB,KG,21-06-2021,USER004,DOL,M,,83357063,C,19492.44
M8994464,PUMP CENTRIFUGAL 5HP — Var 7,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,25-01-2019,USER006,VSP,M,,86349453,B,191225.98
M7454325,PPE SAFETY BOOTS — Var 2,3030212,PPE SAFETY BOOTS,HALB,KG,30-01-2023,USER004,,M,,80278416,A,110912.49
M1210539,OXYGEN GAS LIQUID — Var 5,1010014,OXYGEN GAS LIQUID,HALB,KG,19-02-2024,USER003,VSP,M,,81475307,C,242576.01
M2545431,ANNUAL MAINTENANCE CONTRACT CRANE — Var 2,4040303,ANNUAL MAINTENANCE CONTRACT CRANE,DIEN,ACT,29-10-2019,USER007,BPS,M,,80527479,C,413237.44
M8609763,OXYGEN GAS LIQUID — Var 8,1010014,OXYGEN GAS LIQUID,HALB,KG,27-10-2022,USER003,,M,,91456986,B,55387.17
M9540264,PPE SAFETY BOOTS — Var 9,3030212,PPE SAFETY BOOTS,HALB,KG,16-07-2023,USER009,,M,X,91027648,A,162820.04
M2763660,ANNUAL MAINTENANCE CONTRACT CRANE — Var 4,4040303,ANNUAL MAINTENANCE CONTRACT CRANE,DIEN,ACT,20-01-2023,USER006,,M,,87474603,B,264072.29
M7879582,PUMP CENTRIFUGAL 5HP — Var 7,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,14-05-2024,USER011,JSR,M,,79626880,C,439596.7
M9360963,BEARING MECHANICAL SPARE SKF — Var 3,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,28-09-2023,USER010,VSP,M,,87250201,C,437547.94
M3977034,IRON ORE FINES OPEN MARKET — Var 12,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,28-09-2023,USER002,BPS,M,,76728980,C,144968.12
M8611224,SECURITY CONTRACT PLANT — Var 8,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,01-12-2020,USER003,JSR,M,,79356458,B,325219.64
M2274677,PUMP CENTRIFUGAL 5HP — Var 8,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,30-03-2019,USER008,ANG,M,,94056980,C,109617.33
M6324280,CONSULTANCY ENGINEERING DESIGN — Var 4,4040307,CONSULTANCY ENGINEERING DESIGN,HALB,KG,24-07-2019,USER004,BPS,M,,80456267,B,89393.83
M1620682,SILICO MANGANESE SiMn70 — Var 9,1010011,SILICO MANGANESE SiMn70,HALB,KG,08-09-2020,USER004,JSR,M,,95710283,C,211158.61
M6910545,WELDING ELECTRODE E7018 — Var 11,3030215,WELDING ELECTRODE E7018,HALB,KG,16-04-2020,USER006,,M,,97856360,C,60289.23
M2973115,TRANSPORT INPLANT — Var 5,4040304,TRANSPORT INPLANT,ANLZ,EA,15-04-2024,USER002,BPS,M,,93965762,A,360253.38
M8816912,COAL THERMAL GRADE A 5K — Var 7,1010001,COAL THERMAL GRADE A 5K,ROH,TON,01-05-2023,USER012,KLN,M,,82263259,C,88403.22
M8257399,WELDING ELECTRODE E7018 — Var 1,3030215,WELDING ELECTRODE E7018,HALB,KG,06-12-2020,USER008,KLN,M,,81931331,C,386338.07
M2842452,STATIONERY OFFICE SUPPLIES — Var 5,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,02-02-2020,USER007,,M,,83493019,B,487644.68
M7807972,INDUCTION MOTOR 30KW SPARE — Var 2,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,24-03-2021,USER008,KLN,M,,79474084,A,422915.26
M9141364,MILL ROLL CHOCK ASSEMBLY — Var 5,2020113,MILL ROLL CHOCK ASSEMBLY,ROH,TON,13-05-2020,USER007,,M,,72897874,A,147989.1
M3617984,BEARING MECHANICAL SPARE SKF — Var 12,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,16-05-2019,USER006,ANG,M,,97692477,C,250687.51
M3199513,GREASE INDUSTRIAL EP2 — Var 2,3030205,GREASE INDUSTRIAL EP2,HALB,KG,04-04-2020,USER007,ANG,M,,74720333,A,260845.53
M9369039,HYDRAULIC HOSE INDUSTRIAL — Var 7,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,12-07-2021,USER001,,M,,76142981,B,322668.79
M8064757,BEARING MECHANICAL SPARE SKF — Var 8,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,27-01-2019,USER011,VSP,M,,98456539,C,444874.67
M1082450,SCRAP HEAVY MELT — Var 5,1010009,SCRAP HEAVY MELT,HALB,KG,24-09-2023,USER006,BPS,M,,79143271,B,462231.29
M3186947,TRANSPORT INPLANT — Var 7,4040304,TRANSPORT INPLANT,ANLZ,EA,08-07-2022,USER012,ANG,M,,93871173,A,248754.93
M4431419,SCRAP HEAVY MELT — Var 1,1010009,SCRAP HEAVY MELT,HALB,KG,11-08-2022,USER006,JSR,M,,85280851,C,365809.96
M4818672,BEARING MECHANICAL SPARE TIMKEN — Var 12,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,17-10-2021,USER007,,M,,82253286,C,303039.06
M6913922,HYDRAULIC OIL ISO 68 — Var 12,3030204,HYDRAULIC OIL ISO 68,HALB,KG,27-12-2021,USER012,DOL,M,,84177260,C,461021.46
M6808496,STATIONERY OFFICE SUPPLIES — Var 9,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,06-01-2022,USER003,,M,,94050923,C,255362.06
M8705810,WELDING ELECTRODE E7018 — Var 10,3030215,WELDING ELECTRODE E7018,HALB,KG,11-08-2020,USER011,,M,,85973765,B,14102.92
M1705967,GREASE INDUSTRIAL EP2 — Var 9,3030205,GREASE INDUSTRIAL EP2,HALB,KG,27-03-2020,USER002,,M,,88736809,A,491183.41
M8601929,VALVE PNEUMATIC ACTUATOR — Var 1,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,22-12-2020,USER003,BPS,M,,80674701,B,400175.16
M1300233,OXYGEN GAS LIQUID — Var 11,1010014,OXYGEN GAS LIQUID,HALB,KG,23-05-2023,USER004,,M,,73041090,C,21484.39
M2942170,POWER PLANT TURBINE COMPONENT — Var 9,5050402,POWER PLANT TURBINE COMPONENT,ANLZ,EA,13-05-2022,USER008,,M,,88480942,A,51774.94
M4404454,STATIONERY OFFICE SUPPLIES — Var 8,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,16-06-2022,USER005,,M,,85792194,B,413728.44
M2005910,PPE SAFETY BOOTS — Var 3,3030212,PPE SAFETY BOOTS,HALB,KG,30-12-2019,USER011,,M,,91414351,B,343839.77
M1712617,INTERMEDIATE ROLL — Var 8,2020112,INTERMEDIATE ROLL,ROH,TON,29-10-2021,USER011,JSR,M,,93710608,C,303443.32
M4823157,FERRO CHROME HIGH CARBON — Var 11,1010013,FERRO CHROME HIGH CARBON,HALB,KG,21-06-2023,USER012,VSP,M,,74303482,C,118237.88
M1178335,GREASE INDUSTRIAL EP2 — Var 11,3030205,GREASE INDUSTRIAL EP2,HALB,KG,15-08-2022,USER008,,M,,80924258,A,262020.47
M9434352,FERRO SILICON FeSi75 — Var 2,1010012,FERRO SILICON FeSi75,HALB,KG,24-03-2020,USER003,DOL,M,,78244820,B,48167.12
M1180603,FERRO CHROME HIGH CARBON — Var 10,1010013,FERRO CHROME HIGH CARBON,HALB,KG,28-05-2022,USER002,JSR,M,,82711517,A,206032.65
M7810156,TUNDISH BOARD — Var 2,2020106,TUNDISH BOARD,HALB,KG,04-08-2019,USER009,,M,,77700931,C,67779.58
M5013388,GREASE INDUSTRIAL EP2 — Var 8,3030205,GREASE INDUSTRIAL EP2,HALB,KG,13-01-2024,USER012,,M,,87361705,A,165326.49
M6928271,PUMP CENTRIFUGAL 5HP — Var 4,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,02-03-2023,USER011,KLN,M,,82487889,B,218299.52
M4703113,COKING COAL IMPORTED AUS PREMIUM — Var 4,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,04-05-2024,USER009,,M,,97339517,C,428727.3
M9108097,INDUCTION MOTOR 30KW SPARE — Var 8,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,25-05-2022,USER008,VSP,M,,74643187,C,66755.6
M5751057,STATIONERY OFFICE SUPPLIES — Var 1,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,17-10-2020,USER007,JSR,M,,72554227,C,347421.86
M8025390,TRANSPORT INPLANT — Var 2,4040304,TRANSPORT INPLANT,ANLZ,EA,22-12-2019,USER001,,M,,96919698,C,72967.39
M1112125,REFRACTORY BRICK MAG-C — Var 3,2020101,REFRACTORY BRICK MAG-C,HALB,KG,24-05-2021,USER001,JSR,M,,99487873,B,471022.63
M5509124,CONTRACT LABOUR PLANT MAINTENANCE — Var 11,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,07-09-2023,USER006,KLN,M,,99990284,C,310369.6
M5809098,SILICO MANGANESE SiMn70 — Var 1,1010011,SILICO MANGANESE SiMn70,HALB,KG,18-08-2019,USER003,ANG,M,,90894882,C,25580.55
M2413668,TUNDISH BOARD — Var 9,2020106,TUNDISH BOARD,HALB,KG,12-06-2019,USER007,DOL,M,,97643752,B,148498.12
M4884216,LANCE PIPE BOF — Var 9,2020108,LANCE PIPE BOF,HALB,KG,13-05-2023,USER006,VSP,M,,82418990,B,330351.7
M8133093,PPE HELMET SAFETY — Var 8,3030211,PPE HELMET SAFETY,HALB,KG,18-06-2020,USER010,KLN,M,,80491082,C,269119.04
M9374127,PPE SAFETY BOOTS — Var 3,3030212,PPE SAFETY BOOTS,HALB,KG,03-11-2023,USER010,BPS,M,,89659427,A,67917.38
M6754513,TONER CARTRIDGE LASER — Var 11,3030214,TONER CARTRIDGE LASER,HALB,KG,05-11-2019,USER012,ANG,M,,90310181,B,20818.54
M5783382,BEARING MECHANICAL SPARE TIMKEN — Var 8,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,13-02-2024,USER008,VSP,M,,86130064,A,242458.19
M6849873,FERRO SILICON FeSi75 — Var 5,1010012,FERRO SILICON FeSi75,HALB,KG,10-03-2020,USER004,,M,X,95502626,C,207781.65
M9574938,PUMP CENTRIFUGAL 5HP — Var 2,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,15-05-2022,USER007,BPS,M,,84917932,C,422461.19
M2033896,TRANSPORT INPLANT — Var 8,4040304,TRANSPORT INPLANT,ANLZ,EA,02-02-2022,USER005,BPS,M,,94393962,C,11324.01
M2359632,INDUCTION MOTOR 30KW SPARE — Var 12,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,08-11-2021,USER006,KLN,M,,77770295,C,347879.67
M2288602,CONTRACT LABOUR PLANT MAINTENANCE — Var 1,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,02-06-2019,USER009,KLN,M,,88770969,B,49532.54
M2557646,IRON ORE FINES OPEN MARKET — Var 1,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,26-06-2023,USER001,,M,,82929864,C,215298.04
M1707722,STATIONERY OFFICE SUPPLIES — Var 12,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,03-01-2020,USER010,JSR,M,,94171651,B,308918.18
M9157983,PPE SAFETY BOOTS — Var 7,3030212,PPE SAFETY BOOTS,HALB,KG,25-04-2021,USER009,DOL,M,,84446201,C,417764.11
M5047740,PPE HELMET SAFETY — Var 4,3030211,PPE HELMET SAFETY,HALB,KG,29-06-2022,USER003,,M,,73573715,C,260910.1
M2118165,GREASE INDUSTRIAL EP2 — Var 11,3030205,GREASE INDUSTRIAL EP2,HALB,KG,02-06-2021,USER005,DOL,M,,83792121,B,42232.42
M4855572,IRON ORE LUMPS MARKET — Var 8,1010003,IRON ORE LUMPS MARKET,ROH,TON,24-08-2022,USER010,,M,,73162627,C,477462.24
M7607124,REFRACTORY BRICK MAG-C — Var 6,2020101,REFRACTORY BRICK MAG-C,HALB,KG,20-09-2021,USER006,,M,,98335509,B,262230.55
M4553774,BEARING MECHANICAL SPARE TIMKEN — Var 7,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,31-10-2021,USER008,,M,,81780626,A,50916.58
M6599196,PPE HELMET SAFETY — Var 5,3030211,PPE HELMET SAFETY,HALB,KG,05-04-2020,USER009,DOL,M,,93667725,B,373388.01
M9693717,CRANE EOT 50T NEW INSTALLATION — Var 7,5050401,CRANE EOT 50T NEW INSTALLATION,HALB,KG,26-02-2023,USER006,,M,,95752792,A,285700.27
M8740115,HYDRAULIC OIL ISO 68 — Var 10,3030204,HYDRAULIC OIL ISO 68,HALB,KG,12-01-2024,USER008,,M,,99246686,B,215915.66
M9325571,BEARING MECHANICAL SPARE TIMKEN — Var 4,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,19-01-2024,USER007,,M,X,79172570,B,96672.3
M3317623,HYDRAULIC OIL ISO 68 — Var 6,3030204,HYDRAULIC OIL ISO 68,HALB,KG,13-12-2020,USER010,,M,,76811497,B,422992.34
M5638751,STATIONERY OFFICE SUPPLIES — Var 5,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,08-04-2023,USER011,,M,,89711137,A,494081.79
M6702260,SILICO MANGANESE SiMn70 — Var 11,1010011,SILICO MANGANESE SiMn70,HALB,KG,05-10-2023,USER006,KLN,M,X,80119115,B,360073.15
M3457165,MILL ROLL CHOCK ASSEMBLY — Var 12,2020113,MILL ROLL CHOCK ASSEMBLY,ROH,TON,23-05-2020,USER008,,M,,86508877,B,63209.67
M8111809,HYDRAULIC HOSE INDUSTRIAL — Var 11,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,26-07-2021,USER011,,M,,89692070,B,481498.61
M5317552,GREASE INDUSTRIAL EP2 — Var 4,3030205,GREASE INDUSTRIAL EP2,HALB,KG,23-02-2024,USER011,BPS,M,,91707817,B,424682.23
M7344230,HOUSEKEEPING SERVICES MONTHLY — Var 7,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,01-01-2022,USER008,BPS,M,,94746433,C,250960.71
M5071633,STATIONERY OFFICE SUPPLIES — Var 6,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,17-02-2019,USER007,,M,,73650303,B,497940.04
M6643935,BEARING MECHANICAL SPARE SKF — Var 11,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,21-10-2023,USER005,BPS,M,,83156673,C,245394.56
M6067032,GREASE INDUSTRIAL EP2 — Var 7,3030205,GREASE INDUSTRIAL EP2,HALB,KG,13-09-2021,USER007,JSR,M,,88240415,A,382611.73
M1333185,REFRACTORY BRICK MAG-C — Var 1,2020101,REFRACTORY BRICK MAG-C,HALB,KG,22-09-2020,USER008,,M,,91524168,C,410768.2
M4245939,STATIONERY OFFICE SUPPLIES — Var 6,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,22-08-2020,USER009,,M,,98591804,A,423682.98
M8247574,BEARING MECHANICAL SPARE SKF — Var 2,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,23-07-2022,USER010,KLN,M,,99851509,C,166.74
M8058581,PUMP CENTRIFUGAL 5HP — Var 6,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,08-10-2023,USER010,BPS,M,,97528116,C,204044.53
M4136787,FERRO SILICON FeSi75 — Var 3,1010012,FERRO SILICON FeSi75,HALB,KG,23-10-2022,USER007,ANG,M,,76267378,B,364240.6
M2221209,MOULD FLUX POWDER — Var 9,2020107,MOULD FLUX POWDER,HALB,KG,09-09-2022,USER004,VSP,M,,90479044,C,197934.43
M7529752,FERRO SILICON FeSi75 — Var 3,1010012,FERRO SILICON FeSi75,HALB,KG,06-01-2024,USER011,,M,,73974452,A,194528.11
M2145215,PPE HELMET SAFETY — Var 6,3030211,PPE HELMET SAFETY,HALB,KG,16-10-2020,USER004,BPS,M,,96116725,C,1741.3
M1279736,WELDING ELECTRODE E7018 — Var 3,3030215,WELDING ELECTRODE E7018,HALB,KG,10-05-2021,USER008,VSP,M,,88014887,B,100866.27
M7120020,LUBRICATION OIL TURBINE — Var 4,3030206,LUBRICATION OIL TURBINE,HALB,KG,20-10-2020,USER008,DOL,M,,77061603,C,275423.96
M5539709,TONER CARTRIDGE LASER — Var 4,3030214,TONER CARTRIDGE LASER,HALB,KG,19-03-2021,USER002,ANG,M,,97622318,B,250285.92
M6129446,FERRO MANGANESE Mn78 — Var 7,1010010,FERRO MANGANESE Mn78,HALB,KG,08-10-2021,USER008,DOL,M,,90382538,C,90576.84
M9465318,PPE SAFETY BOOTS — Var 2,3030212,PPE SAFETY BOOTS,HALB,KG,11-08-2019,USER003,,M,,79248671,B,145498.58
M9978881,PPE HELMET SAFETY — Var 10,3030211,PPE HELMET SAFETY,HALB,KG,28-06-2021,USER005,,M,,82007535,C,248345.58
M7005569,HYDRAULIC HOSE INDUSTRIAL — Var 3,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,06-04-2021,USER006,JSR,M,,89069183,C,63804.01
M2865628,OXYGEN GAS LIQUID — Var 10,1010014,OXYGEN GAS LIQUID,HALB,KG,07-04-2022,USER002,,M,,89776171,C,401175.97
M4382340,BEARING MECHANICAL SPARE SKF — Var 4,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,21-08-2021,USER003,BPS,M,,76384174,C,303763.98
M7235542,BEARING MECHANICAL SPARE TIMKEN — Var 10,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,07-02-2020,USER003,,M,,88865450,C,239880.68
M4380145,CONSULTANCY ENGINEERING DESIGN — Var 7,4040307,CONSULTANCY ENGINEERING DESIGN,HALB,KG,07-10-2021,USER003,,M,,95708746,B,463787.96
M5387682,PUMP CENTRIFUGAL 5HP — Var 5,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,01-12-2019,USER012,KLN,M,,98414140,B,304123.65
M2447986,PPE HELMET SAFETY — Var 5,3030211,PPE HELMET SAFETY,HALB,KG,26-02-2021,USER005,KLN,M,,93999509,C,63024.03
M9922641,TONER CARTRIDGE LASER — Var 9,3030214,TONER CARTRIDGE LASER,HALB,KG,30-06-2022,USER003,KLN,M,,95340109,C,175033.15
M7249336,IRON ORE FINES OPEN MARKET — Var 6,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,03-10-2021,USER003,JSR,M,,83898558,B,444896.79
M9057941,GREASE INDUSTRIAL EP2 — Var 7,3030205,GREASE INDUSTRIAL EP2,HALB,KG,24-04-2019,USER002,,M,,80272175,B,137478.0
M5833067,INSTRUMENTATION SENSOR PRESSURE — Var 9,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,16-12-2021,USER012,,M,,97073597,C,164490.36
M1872218,VALVE PNEUMATIC ACTUATOR — Var 1,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,27-06-2021,USER004,VSP,M,,73424997,C,42247.07
M6291925,PELLET FEED IRON ORE — Var 6,1010008,PELLET FEED IRON ORE,ROH,TON,22-05-2021,USER008,VSP,M,,93687820,C,273019.62
M6892023,LANCE PIPE BOF — Var 8,2020108,LANCE PIPE BOF,HALB,KG,25-09-2021,USER002,VSP,M,,82043457,B,451178.28
M9645571,STATIONERY OFFICE SUPPLIES — Var 2,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,20-09-2021,USER009,JSR,M,,84860300,B,288498.96
M3621298,GREASE INDUSTRIAL EP2 — Var 4,3030205,GREASE INDUSTRIAL EP2,HALB,KG,30-05-2022,USER010,DOL,M,,79019322,C,234612.01
