PR_Number,PR_Item,PR_Creation_Date,Plant,Purchase_Group,Material_Group,PR_Release_Date,PR_Requisitioner_Name,PR_Total_Value,Delivery_Date,PR_Approver
100012189,10,24-05-2025,VSP,P60-VSP,3030212,25-05-2025,User108,1528.87,10-07-2025,Approver2
100008971,10,21-11-2025,KLN,P20-KLN,3030201,22-11-2025,User226,9087.98,23-12-2025,Approver17
100007438,60,23-03-2025,JSR,P02-CENTRAL,1010009,26-03-2025,User642,565439.2,16-04-2025,Approver17
100014852,40,23-11-2025,ANG,P30-ANG,4040305,02-12-2025,User225,4024108.02,17-01-2026,Approver15
100006057,80,30-08-2024,JSR,P02-CENTRAL,1010001,31-08-2024,User926,984111.67,21-09-2024,Approver1
100008922,20,20-06-2025,KLN,P20-KLN,3030201,23-06-2025,User985,23683.49,20-07-2025,Approver7
100013395,20,27-05-2025,DOL,P50-DOL,3030214,02-06-2025,User960,4649.5,29-06-2025,Approver18
100008111,50,19-04-2025,KLN,P02-CENTRAL,1010015,20-04-2025,User245,273187.82,01-06-2025,Approver4
100007845,90,08-06-2025,BPS,P02-CENTRAL,1010013,20-06-2025,User492,442359.97,16-07-2025,Approver19
100010998,80,02-12-2024,KLN,P20-KLN,3030207,06-12-2024,User693,59553.7,22-12-2024,Approver11
100012747,30,21-06-2025,ANG,P30-ANG,3030213,23-06-2025,User935,1031.67,14-07-2025,Approver15
100009775,10,13-07-2025,VSP,P60-VSP,3030203,17-07-2025,User394,10355.37,09-08-2025,Approver4
100013239,70,31-10-2024,ANG,P30-ANG,3030214,06-11-2024,User467,5506.68,02-12-2024,Approver5
100011534,70,14-01-2025,JSR,P11-JSR,3030210,18-01-2025,User993,79391.12,19-02-2025,Approver19
100010150,90,12-12-2025,KLN,P20-KLN,3030204,17-12-2025,User401,9796.06,17-01-2026,Approver6
100008514,60,20-10-2024,BPS,P02-CENTRAL,2020107,22-10-2024,User227,1038776.59,07-11-2024,Approver1
100006741,30,17-04-2025,KLN,P01-CENTRAL,1010004,25-04-2025,User787,1249709.88,14-06-2025,Approver13
100013133,50,08-10-2025,JSR,P11-JSR,3030213,22-10-2025,User236,680.84,30-12-2025,Approver3
100006525,50,05-07-2024,VSP,P01-CENTRAL,1010003,08-07-2024,User202,2031060.46,07-08-2024,Approver8
100011523,30,18-08-2025,VSP,P60-VSP,3030210,21-08-2025,User141,48184.35,17-10-2025,Approver6
100009027,50,15-12-2024,ANG,P30-ANG,3030201,06-01-2025,User196,12426.82,11-03-2025,Approver13
100014926,30,03-12-2025,DOL,P50-DOL,4040308,04-12-2025,User845,115529.71,30-01-2026,Approver6
100011607,40,03-03-2025,KLN,P20-KLN,3030210,09-03-2025,User769,26432.53,30-03-2025,Approver14
100013440,20,21-01-2025,KLN,P20-KLN,3030214,24-02-2025,User578,4018.51,11-04-2025,Approver19
100006436,70,17-09-2025,JSR,P01-CENTRAL,1010003,05-10-2025,User837,1423106.88,14-11-2025,Approver3
100011310,80,06-12-2024,JSR,P11-JSR,3030208,06-01-2025,User488,17317.09,01-03-2025,Approver19
100006309,80,01-07-2024,BPS,P02-CENTRAL,1010002,03-07-2024,User219,1327749.03,23-08-2024,Approver15
100009039,90,20-03-2025,DOL,P50-DOL,3030201,22-03-2025,User678,25485.16,30-04-2025,Approver19
100006402,30,02-07-2025,BPS,P01-CENTRAL,1010003,18-07-2025,User189,1811331.13,27-08-2025,Approver8
100013436,80,20-07-2024,BPS,P40-BPS,3030214,01-08-2024,User316,7755.96,11-09-2024,Approver1
100006882,80,05-03-2025,KLN,P02-CENTRAL,1010005,09-03-2025,User787,505479.28,08-04-2025,Approver11
100012969,50,26-05-2025,KLN,P20-KLN,3030213,28-05-2025,User573,814.12,07-07-2025,Approver20
100011969,30,09-11-2024,DOL,P50-DOL,3030211,10-11-2024,User468,631.48,08-12-2024,Approver10
100013004,20,05-07-2025,KLN,P20-KLN,3030213,10-07-2025,User281,887.76,08-08-2025,Approver16
100011308,10,03-12-2025,JSR,P10-JSR,3030208,14-12-2025,User764,16989.19,25-01-2026,Approver9
100006289,10,16-05-2025,ANG,P02-CENTRAL,1010002,17-05-2025,User552,19708.27,11-06-2025,Approver16
100009182,30,04-08-2024,KLN,P20-KLN,3030202,17-08-2024,User574,18979.15,03-09-2024,Approver1
100013262,50,04-05-2025,VSP,P60-VSP,3030214,06-05-2025,User851,8106.03,14-06-2025,Approver3
100010975,30,12-06-2025,KLN,P20-KLN,3030207,25-06-2025,User523,43450.81,14-07-2025,Approver17
100006477,80,31-08-2024,JSR,P02-CENTRAL,1010003,05-09-2024,User824,2355125.77,05-10-2024,Approver11
100011889,80,17-09-2025,JSR,P11-JSR,3030211,25-09-2025,User379,1493.23,28-10-2025,Approver6
100014411,20,13-04-2025,VSP,P60-VSP,4040302,14-04-2025,User462,109009.92,25-05-2025,Approver15
100008642,30,23-10-2025,ANG,P02-CENTRAL,2020109,31-10-2025,User559,5293333.49,12-12-2025,Approver17
100011584,10,16-11-2024,BPS,P40-BPS,3030210,25-11-2024,User824,34842.17,27-12-2024,Approver8
100008865,20,05-10-2025,BPS,P40-BPS,3030201,20-10-2025,User799,35294.88,22-11-2025,Approver15
100006738,70,25-11-2024,DOL,P02-CENTRAL,1010004,26-11-2024,User513,1935028.93,30-12-2024,Approver4
100008589,90,03-08-2024,JSR,P02-CENTRAL,2020108,05-08-2024,User851,251467.48,16-08-2024,Approver8
100011489,30,03-01-2025,ANG,P30-ANG,3030210,14-01-2025,User563,33320.97,19-02-2025,Approver19
100011229,50,05-09-2025,VSP,P60-VSP,3030208,25-10-2025,User394,21795.81,09-12-2025,Approver5
100010065,10,17-11-2025,ANG,P30-ANG,3030204,21-11-2025,User431,13742.3,03-12-2025,Approver9
100008949,20,02-11-2024,VSP,P60-VSP,3030201,20-11-2024,User548,33567.14,12-01-2025,Approver5
100013681,30,07-11-2025,VSP,P60-VSP,3030215,09-11-2025,User679,2442.23,21-12-2025,Approver20
100011654,70,16-08-2025,DOL,P50-DOL,3030211,23-08-2025,User158,1586.09,16-09-2025,Approver16
100011736,70,06-11-2025,KLN,P20-KLN,3030211,10-11-2025,User319,937.68,16-12-2025,Approver7
100007840,90,19-10-2025,BPS,P02-CENTRAL,1010013,20-10-2025,User342,586650.65,01-11-2025,Approver9
100007996,30,09-09-2024,BPS,P02-CENTRAL,1010014,22-09-2024,User192,436174.15,06-11-2024,Approver8
100014115,40,22-02-2025,BPS,P40-BPS,4040301,26-02-2025,User122,149365.64,31-03-2025,Approver9
100012429,40,16-12-2024,DOL,P50-DOL,3030212,22-12-2024,User793,2483.26,15-01-2025,Approver12
100010886,50,12-10-2024,KLN,P20-KLN,3030206,13-10-2024,User463,29193.78,31-10-2024,Approver18
100006801,50,11-08-2025,ANG,P01-CENTRAL,1010005,25-08-2025,User842,301024.31,28-09-2025,Approver9
100009783,70,11-10-2024,JSR,P11-JSR,3030203,13-10-2024,User304,8139.09,25-11-2024,Approver16
100012858,40,06-09-2024,KLN,P20-KLN,3030213,10-09-2024,User631,893.0,27-10-2024,Approver14
100007406,20,22-11-2024,JSR,P02-CENTRAL,1010009,17-12-2024,User371,1711623.48,11-01-2025,Approver14
100011256,30,03-12-2024,JSR,P10-JSR,3030208,15-01-2025,User915,42888.49,01-02-2025,Approver4
100006070,40,06-11-2024,VSP,P02-CENTRAL,1010001,19-11-2024,User845,3460097.06,11-12-2024,Approver12
100010794,30,03-09-2024,DOL,P50-DOL,3030206,07-09-2024,User865,31705.17,27-09-2024,Approver7
100007587,90,13-03-2025,JSR,P02-CENTRAL,1010011,22-03-2025,User304,308184.67,23-04-2025,Approver2
100013647,20,03-12-2024,DOL,P50-DOL,3030215,10-12-2024,User496,2896.91,12-01-2025,Approver3
100012291,60,25-06-2024,ANG,P30-ANG,3030212,05-07-2024,User659,2821.85,26-08-2024,Approver13
100007075,20,23-01-2025,VSP,P02-CENTRAL,1010007,03-02-2025,User142,266963.76,16-03-2025,Approver3
100014134,80,25-10-2024,BPS,P40-BPS,4040301,28-10-2024,User649,620813.75,16-11-2024,Approver15
100014201,60,28-08-2024,VSP,P60-VSP,4040301,16-09-2024,User398,546203.62,17-10-2024,Approver16
100010408,50,13-11-2024,ANG,P30-ANG,3030205,17-11-2024,User517,15339.34,06-01-2025,Approver11
100014335,90,26-12-2024,KLN,P20-KLN,4040302,31-12-2024,User283,183189.84,12-01-2025,Approver14
100013982,90,16-09-2025,ANG,P30-ANG,3030216,19-09-2025,User976,19279.93,10-10-2025,Approver17
100012696,30,17-08-2025,KLN,P20-KLN,3030213,18-08-2025,User847,934.94,30-08-2025,Approver6
100009747,50,03-09-2024,KLN,P20-KLN,3030203,04-09-2024,User901,14757.98,12-10-2024,Approver19
100012487,40,15-04-2025,KLN,P20-KLN,3030212,20-04-2025,User172,4146.34,26-05-2025,Approver6
100010265,20,19-11-2024,ANG,P30-ANG,3030204,30-11-2024,User248,6103.48,21-12-2024,Approver3
100013418,50,10-10-2024,KLN,P20-KLN,3030214,11-10-2024,User122,10340.83,06-11-2024,Approver7
100012721,90,15-01-2025,DOL,P50-DOL,3030213,19-01-2025,User712,955.57,18-03-2025,Approver14
100010873,40,26-10-2025,BPS,P40-BPS,3030206,31-10-2025,User204,22855.0,29-11-2025,Approver17
100006478,20,25-06-2025,KLN,P01-CENTRAL,1010003,27-06-2025,User806,895283.84,09-08-2025,Approver4
100007330,80,20-06-2025,JSR,P01-CENTRAL,1010009,23-06-2025,User462,1207378.2,13-08-2025,Approver2
100014866,20,24-10-2024,KLN,P20-KLN,4040306,27-10-2024,User513,13222768.18,20-11-2024,Approver17
100007778,70,26-06-2025,BPS,P01-CENTRAL,1010012,29-08-2025,User714,526446.1,19-10-2025,Approver8
100009150,60,01-01-2025,ANG,P30-ANG,3030201,07-01-2025,User560,27137.74,11-02-2025,Approver17
100006752,90,01-01-2025,KLN,P02-CENTRAL,1010004,03-01-2025,User985,1237478.53,04-02-2025,Approver13
100010845,70,23-09-2025,JSR,P10-JSR,3030206,26-09-2025,User183,25204.25,31-10-2025,Approver4
100014896,10,01-06-2025,ANG,P30-ANG,4040307,08-06-2025,User392,664334.69,19-07-2025,Approver1
100014786,90,23-12-2024,ANG,P30-ANG,4040304,01-01-2025,User280,300462.19,11-01-2025,Approver8
100014040,10,23-10-2024,JSR,P10-JSR,3030216,20-11-2024,User656,31957.55,06-01-2025,Approver8
100015069,80,06-03-2025,JSR,P11-JSR,4040308,19-03-2025,User303,139580.57,21-04-2025,Approver18
100006469,60,08-08-2025,VSP,P01-CENTRAL,1010003,09-08-2025,User628,1942767.87,01-10-2025,Approver15
100007546,10,16-08-2024,ANG,P01-CENTRAL,1010010,19-08-2024,User539,535105.55,07-09-2024,Approver14
100013717,20,28-09-2024,KLN,P20-KLN,3030215,08-10-2024,User730,6082.5,30-10-2024,Approver5
100012023,30,02-11-2024,ANG,P30-ANG,3030211,04-11-2024,User223,899.9,20-11-2024,Approver17
100007026,50,24-02-2025,JSR,P02-CENTRAL,1010006,07-03-2025,User341,262457.74,13-04-2025,Approver10
100014578,10,20-05-2025,KLN,P20-KLN,4040304,25-05-2025,User429,433336.52,17-07-2025,Approver3
100012764,10,26-07-2024,DOL,P50-DOL,3030213,29-07-2024,User289,1683.67,03-09-2024,Approver2
100006774,70,16-01-2025,BPS,P02-CENTRAL,1010004,18-01-2025,User435,1310219.12,10-02-2025,Approver20
100008961,30,18-05-2025,BPS,P40-BPS,3030201,04-06-2025,User295,9191.84,17-06-2025,Approver6
100013739,60,25-06-2025,DOL,P50-DOL,3030215,01-07-2025,User765,4005.91,06-08-2025,Approver14
100008389,40,02-06-2025,BPS,P01-CENTRAL,2020104,12-06-2025,User829,1150653.08,19-07-2025,Approver1
100006642,10,02-02-2025,BPS,P01-CENTRAL,1010004,12-02-2025,User904,1663155.78,14-03-2025,Approver4
100013261,60,30-11-2024,ANG,P30-ANG,3030214,26-12-2024,User851,4870.9,06-03-2025,Approver13
100014427,50,06-10-2025,VSP,P60-VSP,4040302,09-10-2025,User268,139247.88,20-10-2025,Approver5
100007109,70,22-08-2025,KLN,P02-CENTRAL,1010007,28-08-2025,User132,188618.99,21-10-2025,Approver16
100013842,10,10-05-2025,BPS,P40-BPS,3030215,11-05-2025,User852,3310.2,01-07-2025,Approver13
100010685,70,22-08-2024,ANG,P30-ANG,3030205,23-08-2024,User884,7391.53,18-09-2024,Approver15
100007421,50,16-09-2024,BPS,P01-CENTRAL,1010009,23-09-2024,User123,1949178.74,07-11-2024,Approver1
100009843,50,21-03-2025,DOL,P50-DOL,3030203,28-03-2025,User116,15498.38,15-04-2025,Approver5
100009353,70,06-10-2025,KLN,P20-KLN,3030202,22-10-2025,User685,15051.06,29-11-2025,Approver6
100010270,50,22-09-2025,ANG,P30-ANG,3030204,26-09-2025,User533,14480.81,05-11-2025,Approver13
100012553,20,25-04-2025,KLN,P20-KLN,3030212,02-05-2025,User684,2898.92,16-06-2025,Approver15
100007681,50,09-12-2025,ANG,P02-CENTRAL,1010011,11-12-2025,User434,1841761.34,17-01-2026,Approver16
100013346,60,08-10-2025,DOL,P50-DOL,3030214,10-10-2025,User951,8943.37,17-11-2025,Approver16
100006634,90,04-08-2024,KLN,P01-CENTRAL,1010004,09-08-2024,User961,1251520.7,20-08-2024,Approver14
100013260,10,03-09-2024,KLN,P20-KLN,3030214,05-09-2024,User559,5942.29,11-10-2024,Approver11
100008167,40,14-11-2024,KLN,P02-CENTRAL,2020101,17-11-2024,User381,667456.39,20-12-2024,Approver7
100012844,70,06-10-2024,JSR,P10-JSR,3030213,27-10-2024,User706,1177.18,07-12-2024,Approver13
100011816,70,07-08-2024,BPS,P40-BPS,3030211,27-08-2024,User519,2055.05,13-10-2024,Approver14
100008875,50,23-10-2025,JSR,P11-JSR,3030201,24-10-2025,User922,12335.76,12-11-2025,Approver2
100013749,50,28-03-2025,BPS,P40-BPS,3030215,08-04-2025,User441,6550.1,20-05-2025,Approver7
100013322,40,08-12-2025,KLN,P20-KLN,3030214,09-12-2025,User851,7032.1,17-01-2026,Approver8
100008479,30,28-11-2024,KLN,P02-CENTRAL,2020106,01-12-2024,User124,212663.24,21-12-2024,Approver6
100010611,80,15-03-2025,VSP,P60-VSP,3030205,28-03-2025,User977,10629.11,15-05-2025,Approver6
100012092,90,10-12-2025,BPS,P40-BPS,3030211,15-12-2025,User969,1610.33,02-02-2026,Approver10
100011633,60,28-04-2025,JSR,P10-JSR,3030211,02-05-2025,User575,1199.77,16-05-2025,Approver2
100007173,60,01-06-2025,VSP,P02-CENTRAL,1010008,12-06-2025,User216,1427731.94,30-06-2025,Approver7
100012399,10,06-10-2025,KLN,P20-KLN,3030212,17-10-2025,User246,3997.3,16-11-2025,Approver6
100008909,50,02-10-2025,DOL,P50-DOL,3030201,21-10-2025,User686,15385.81,06-12-2025,Approver6
100013387,60,30-12-2024,VSP,P60-VSP,3030214,31-12-2024,User355,2792.73,02-02-2025,Approver6
100014052,40,01-07-2024,JSR,P10-JSR,3030216,02-07-2024,User798,40139.72,23-08-2024,Approver16
100008200,10,20-01-2025,JSR,P02-CENTRAL,2020101,24-01-2025,User555,483475.64,10-02-2025,Approver15
100015111,20,16-05-2025,KLN,P20-KLN,4040308,20-05-2025,User548,400359.29,26-06-2025,Approver6
100008276,90,08-05-2025,KLN,P02-CENTRAL,2020102,09-05-2025,User826,708561.0,17-06-2025,Approver12
100008400,90,06-12-2024,ANG,P02-CENTRAL,2020105,12-12-2024,User134,1453024.75,25-01-2025,Approver4
100012546,70,15-12-2025,ANG,P30-ANG,3030212,26-12-2025,User826,2364.56,14-01-2026,Approver17
100011309,60,23-11-2024,BPS,P40-BPS,3030208,01-12-2024,User585,12564.1,02-01-2025,Approver19
100009940,20,24-05-2025,JSR,P11-JSR,3030203,06-06-2025,User503,6505.74,21-07-2025,Approver7
100011742,30,09-07-2024,DOL,P50-DOL,3030211,11-07-2024,User528,4857.76,18-08-2024,Approver13
100009932,70,24-07-2025,JSR,P11-JSR,3030203,25-07-2025,User855,7206.8,31-08-2025,Approver19
100006816,20,23-11-2025,VSP,P02-CENTRAL,1010005,30-11-2025,User187,580123.56,25-12-2025,Approver7
100008132,40,21-09-2024,JSR,P01-CENTRAL,1010015,23-09-2024,User380,306776.83,12-11-2024,Approver8
100014925,40,14-12-2025,KLN,P20-KLN,4040308,20-12-2025,User754,210068.12,19-01-2026,Approver16
100010598,30,28-10-2024,VSP,P60-VSP,3030205,04-11-2024,User150,2016.12,24-11-2024,Approver15
100009556,70,05-06-2025,ANG,P30-ANG,3030203,08-06-2025,User322,12770.0,04-07-2025,Approver6
100011497,70,10-11-2024,BPS,P40-BPS,3030210,20-11-2024,User172,55336.28,24-12-2024,Approver13
100009032,70,10-01-2025,DOL,P50-DOL,3030201,16-01-2025,User672,20479.57,26-01-2025,Approver4
100009321,30,02-09-2025,VSP,P60-VSP,3030202,06-09-2025,User130,23407.91,21-10-2025,Approver19
100006180,30,26-12-2024,ANG,P01-CENTRAL,1010002,01-01-2025,User340,2206180.19,26-01-2025,Approver15
100014503,50,30-09-2024,KLN,P20-KLN,4040303,05-10-2024,User235,561283.72,14-11-2024,Approver7
100011091,90,28-12-2024,ANG,P30-ANG,3030208,06-01-2025,User229,54318.8,13-02-2025,Approver14
100008665,40,25-05-2025,VSP,P01-CENTRAL,2020111,12-06-2025,User916,5144687.92,02-07-2025,Approver2
100010177,70,07-11-2025,KLN,P20-KLN,3030204,09-11-2025,User362,10375.72,25-11-2025,Approver18
100007158,60,05-12-2025,KLN,P01-CENTRAL,1010008,06-12-2025,User525,1348088.86,17-01-2026,Approver2
100014069,40,29-12-2024,VSP,P60-VSP,4040301,30-12-2024,User158,157344.86,19-02-2025,Approver9
100007533,20,01-07-2025,ANG,P02-CENTRAL,1010010,05-07-2025,User413,570290.42,08-08-2025,Approver4
100014374,20,16-08-2024,JSR,P10-JSR,4040302,20-08-2024,User101,350748.49,03-10-2024,Approver10
100007536,90,17-11-2025,DOL,P01-CENTRAL,1010010,21-11-2025,User824,13447.81,21-12-2025,Approver10
100012342,10,16-12-2024,VSP,P60-VSP,3030212,21-12-2024,User317,3255.87,02-02-2025,Approver2
100013563,50,14-10-2025,VSP,P60-VSP,3030215,16-10-2025,User329,3892.05,30-11-2025,Approver13
100013549,70,19-11-2025,DOL,P50-DOL,3030215,20-11-2025,User523,2318.24,03-01-2026,Approver8
100012850,20,17-10-2025,BPS,P40-BPS,3030213,19-10-2025,User458,531.39,27-11-2025,Approver14
100008178,20,19-09-2025,ANG,P02-CENTRAL,2020101,01-10-2025,User326,1269622.83,13-11-2025,Approver2
100012996,90,18-05-2025,VSP,P60-VSP,3030213,30-05-2025,User369,1274.24,16-06-2025,Approver18
100011826,80,08-09-2025,BPS,P40-BPS,3030211,14-09-2025,User404,868.86,22-10-2025,Approver1
100013407,40,15-05-2025,ANG,P30-ANG,3030214,17-05-2025,User975,3236.56,12-06-2025,Approver3
100007481,30,27-08-2025,ANG,P01-CENTRAL,1010010,05-09-2025,User373,584484.68,25-09-2025,Approver3
100009995,90,13-01-2025,JSR,P11-JSR,3030203,14-01-2025,User345,8927.18,25-01-2025,Approver15
100014993,60,05-11-2025,KLN,P20-KLN,4040308,09-11-2025,User337,170339.94,19-12-2025,Approver4
100015137,70,23-11-2024,VSP,P01-CENTRAL,5050401,02-12-2024,User851,163242.97,08-01-2025,Approver16
100008871,10,01-04-2025,KLN,P20-KLN,3030201,07-04-2025,User949,13785.82,05-05-2025,Approver7
100007953,90,17-11-2024,BPS,P01-CENTRAL,1010014,19-11-2024,User264,1050716.94,30-12-2024,Approver14
100009299,30,11-03-2025,KLN,P20-KLN,3030202,12-03-2025,User865,34586.76,28-03-2025,Approver7
100009092,60,16-09-2025,KLN,P20-KLN,3030201,21-09-2025,User752,16811.32,06-11-2025,Approver13
100007164,60,09-08-2024,VSP,P01-CENTRAL,1010008,10-08-2024,User916,1223258.33,16-10-2024,Approver15
100014778,30,25-10-2025,JSR,P10-JSR,4040304,05-11-2025,User545,369523.13,07-12-2025,Approver5
100011158,90,14-08-2025,DOL,P50-DOL,3030208,23-08-2025,User793,34630.63,30-09-2025,Approver15
100009709,70,03-11-2024,ANG,P30-ANG,3030203,05-11-2024,User186,24042.19,25-12-2024,Approver18
100010120,30,10-12-2025,ANG,P30-ANG,3030204,21-12-2025,User226,7156.45,04-01-2026,Approver5
100010386,90,30-05-2025,VSP,P60-VSP,3030205,02-06-2025,User364,3787.06,16-06-2025,Approver13
100010475,90,26-11-2024,JSR,P10-JSR,3030205,29-11-2024,User854,13719.09,13-12-2024,Approver11
100007599,30,07-12-2024,JSR,P02-CENTRAL,1010011,08-12-2024,User196,589135.29,31-01-2025,Approver6
100012913,30,26-09-2025,VSP,P60-VSP,3030213,02-10-2025,User595,657.94,14-10-2025,Approver13
100006301,80,25-09-2025,DOL,P01-CENTRAL,1010002,06-10-2025,User859,3289724.19,21-10-2025,Approver11
100009143,50,23-11-2025,VSP,P60-VSP,3030201,28-11-2025,User973,21279.41,14-12-2025,Approver5
100009334,60,28-10-2025,VSP,P60-VSP,3030202,05-11-2025,User884,45274.11,26-11-2025,Approver11
100008252,40,04-12-2025,BPS,P02-CENTRAL,2020102,12-12-2025,User538,362334.13,20-01-2026,Approver13
100009568,10,30-09-2025,VSP,P60-VSP,3030203,02-10-2025,User747,6135.18,14-10-2025,Approver10
100009459,70,28-08-2025,VSP,P60-VSP,3030202,05-09-2025,User510,29301.68,17-09-2025,Approver18
100007360,50,22-08-2024,VSP,P01-CENTRAL,1010009,18-09-2024,User419,12883.89,09-11-2024,Approver8
100012040,20,04-09-2025,KLN,P20-KLN,3030211,12-09-2025,User896,1081.98,10-10-2025,Approver7
100011341,40,05-10-2024,ANG,P30-ANG,3030209,22-10-2024,User734,230593.85,07-11-2024,Approver6
100011560,70,23-11-2025,BPS,P40-BPS,3030210,16-12-2025,User217,33726.63,05-01-2026,Approver8
100006487,20,02-12-2025,DOL,P02-CENTRAL,1010003,05-12-2025,User360,2080689.85,05-01-2026,Approver7
100010061,20,08-11-2024,BPS,P40-BPS,3030204,09-11-2024,User875,14307.84,26-12-2024,Approver8
100010216,10,02-10-2024,BPS,P40-BPS,3030204,22-10-2024,User280,9817.42,26-11-2024,Approver3
100007153,50,03-07-2025,KLN,P01-CENTRAL,1010008,09-07-2025,User943,3024634.45,04-08-2025,Approver12
100010802,60,14-10-2025,ANG,P30-ANG,3030206,20-11-2025,User101,29282.42,06-01-2026,Approver2
100009828,10,25-10-2025,JSR,P10-JSR,3030203,12-11-2025,User383,7793.74,23-11-2025,Approver6
100012604,80,20-07-2024,BPS,P40-BPS,3030213,21-07-2024,User746,725.25,07-09-2024,Approver1
100014923,80,17-09-2024,DOL,P50-DOL,4040308,21-09-2024,User252,314563.68,09-11-2024,Approver6
100014553,50,05-12-2025,JSR,P11-JSR,4040303,23-12-2025,User687,441891.52,02-02-2026,Approver2
100013296,90,07-02-2025,JSR,P10-JSR,3030214,19-02-2025,User506,8629.31,15-03-2025,Approver19
100006666,80,25-03-2025,ANG,P01-CENTRAL,1010004,26-03-2025,User834,1086947.23,22-04-2025,Approver1
100014355,60,29-12-2024,DOL,P50-DOL,4040302,31-12-2024,User569,301018.32,01-03-2025,Approver1
100012104,40,07-12-2024,BPS,P40-BPS,3030211,18-12-2024,User757,863.34,12-01-2025,Approver5
100006643,70,22-10-2025,BPS,P02-CENTRAL,1010004,24-10-2025,User817,573795.19,24-11-2025,Approver9
100006177,10,10-10-2024,JSR,P02-CENTRAL,1010002,26-10-2024,User945,2056780.23,04-12-2024,Approver1
100015115,90,04-09-2024,BPS,P40-BPS,4040308,05-09-2024,User345,185653.81,02-10-2024,Approver3
100009414,80,30-06-2025,ANG,P30-ANG,3030202,18-07-2025,User412,26771.04,31-08-2025,Approver13
100006787,50,09-09-2024,KLN,P02-CENTRAL,1010004,11-09-2024,User673,1364708.67,14-10-2024,Approver14
100011337,80,21-07-2024,BPS,P40-BPS,3030209,23-07-2024,User312,164545.35,12-08-2024,Approver18
100010660,70,17-07-2024,BPS,P40-BPS,3030205,18-07-2024,User971,5640.88,05-08-2024,Approver1
100010297,10,01-02-2025,ANG,P30-ANG,3030204,03-02-2025,User976,10174.95,20-03-2025,Approver12
100006092,20,08-11-2024,JSR,P02-CENTRAL,1010001,19-11-2024,User322,4046210.56,07-01-2025,Approver11
100013964,40,06-01-2025,BPS,P40-BPS,3030216,08-01-2025,User681,26751.58,16-02-2025,Approver14
100012943,40,30-05-2025,DOL,P50-DOL,3030213,05-06-2025,User322,706.39,09-07-2025,Approver1
100013497,70,26-11-2024,JSR,P11-JSR,3030215,29-11-2024,User879,2186.62,14-12-2024,Approver12
100007972,40,21-08-2025,BPS,P02-CENTRAL,1010014,22-08-2025,User443,532820.06,02-10-2025,Approver4
100006531,50,01-08-2025,JSR,P02-CENTRAL,1010003,05-08-2025,User447,1236349.16,17-08-2025,Approver17
100006997,50,02-06-2025,JSR,P01-CENTRAL,1010006,04-06-2025,User259,269144.21,07-07-2025,Approver11
100009034,90,23-10-2024,BPS,P40-BPS,3030201,30-10-2024,User780,14550.11,15-12-2024,Approver9
100008155,30,29-08-2024,BPS,P02-CENTRAL,2020101,02-09-2024,User366,540185.08,06-10-2024,Approver12
100009071,50,21-07-2024,BPS,P40-BPS,3030201,25-07-2024,User613,49637.37,02-08-2024,Approver3
100007428,50,24-10-2025,JSR,P01-CENTRAL,1010009,28-10-2025,User882,416233.42,26-11-2025,Approver10
100011759,80,18-06-2025,ANG,P30-ANG,3030211,19-06-2025,User916,674.55,01-08-2025,Approver11
100011050,50,07-01-2025,KLN,P20-KLN,3030207,08-01-2025,User307,53818.83,30-01-2025,Approver17
100009693,20,04-12-2024,KLN,P20-KLN,3030203,05-12-2024,User606,8895.28,06-01-2025,Approver11
100010938,90,16-05-2025,BPS,P40-BPS,3030207,18-05-2025,User862,57061.86,28-06-2025,Approver10
100014504,20,22-11-2025,ANG,P30-ANG,4040303,18-12-2025,User523,963689.68,01-01-2026,Approver2
100010954,10,23-10-2025,ANG,P30-ANG,3030207,31-10-2025,User435,36507.16,19-11-2025,Approver11
100013494,40,27-08-2024,JSR,P10-JSR,3030215,29-08-2024,User180,6165.28,06-10-2024,Approver7
100014590,70,11-07-2025,VSP,P60-VSP,4040304,23-07-2025,User595,166934.75,08-08-2025,Approver15
100009860,40,04-10-2025,ANG,P30-ANG,3030203,14-10-2025,User792,5966.75,04-11-2025,Approver7
100008639,10,27-08-2025,JSR,P02-CENTRAL,2020109,29-08-2025,User916,3331851.37,06-09-2025,Approver1
100009096,80,22-08-2024,DOL,P50-DOL,3030201,27-08-2024,User285,18243.16,17-09-2024,Approver18
100014330,50,15-08-2025,BPS,P40-BPS,4040302,18-08-2025,User999,115370.99,18-09-2025,Approver13
100013283,50,28-02-2025,JSR,P10-JSR,3030214,01-03-2025,User909,6220.97,21-04-2025,Approver6
100012350,20,04-12-2024,ANG,P30-ANG,3030212,11-12-2024,User490,1933.79,14-01-2025,Approver11
100006695,70,01-07-2025,ANG,P01-CENTRAL,1010004,04-07-2025,User175,1327910.92,20-08-2025,Approver18
100010907,90,11-06-2025,BPS,P40-BPS,3030206,14-06-2025,User477,37453.3,06-07-2025,Approver1
100007739,90,22-04-2025,BPS,P02-CENTRAL,1010012,28-04-2025,User893,353716.62,08-05-2025,Approver12
100006168,30,15-03-2025,DOL,P02-CENTRAL,1010002,21-03-2025,User324,1896641.07,04-05-2025,Approver12
100012889,30,27-09-2025,DOL,P50-DOL,3030213,06-10-2025,User589,1267.47,15-10-2025,Approver5
100013518,20,20-12-2024,KLN,P20-KLN,3030215,22-12-2024,User194,2878.04,04-02-2025,Approver9
